Product,Manufacturing_Date,Initial_Shelf_Life,Storage_Temperature,Storage_Humidity,Days_in_Transit,Remaining_Shelf_Life
Juice,2023-01-08,17,11.7,73.5,6,7.8
Cheese,2023-03-06,16,13.2,62.8,1,14.2
Yogurt,2023-02-26,15,5.0,62.4,5,14.4
Bread,2023-03-08,20,10.3,49.4,7,10.9
Juice,2023-03-13,19,5.1,48.3,1,28.5
Bread,2023-02-23,31,8.1,60.2,2,31.8
Juice,2023-03-08,8,7.2,45.7,7,8.6
Juice,2023-02-20,41,0.8,67.8,6,40.6
Cheese,2023-04-07,13,9.3,51.5,3,14.0
Juice,2023-04-02,27,8.4,59.8,2,26.5
Bread,2023-01-08,24,12.4,41.1,4,19.5
Juice,2023-06-11,9,9.8,56.1,3,7.6
Cheese,2023-02-04,48,14.9,48.1,7,27.0
Cheese,2023-04-06,45,8.3,36.8,8,38.9
Bread,2023-03-29,47,7.7,65.4,2,46.7
Milk,2023-03-19,55,7.4,76.4,7,36.3
Milk,2023-02-01,17,6.7,71.3,8,6.1
Juice,2023-04-30,45,1.4,66.8,6,41.7
Yogurt,2023-02-15,30,7.3,55.9,6,23.6
Juice,2023-05-24,52,1.8,68.1,1,68.7
Bread,2023-06-14,25,9.4,72.2,4,15.8
Bread,2023-05-22,10,4.3,61.4,1,14.1
Bread,2023-02-24,32,5.3,48.2,4,37.3
Bread,2023-06-25,44,6.0,55.0,2,55.1
Bread,2023-01-07,48,7.4,77.0,5,36.7
Cheese,2023-03-15,38,8.0,59.3,9,22.7
Milk,2023-01-07,45,11.3,26.8,3,51.4
Bread,2023-06-10,51,6.3,45.3,8,41.1
Yogurt,2023-05-31,52,9.4,55.8,3,48.0
Yogurt,2023-03-26,42,16.2,70.4,6,19.7
Yogurt,2023-05-27,46,9.1,57.3,4,40.3
Yogurt,2023-04-22,43,7.5,70.5,8,23.8
Cheese,2023-05-05,39,5.7,54.7,6,35.8
Yogurt,2023-05-27,42,7.4,40.4,8,31.8
Bread,2023-02-05,9,5.3,55.1,1,11.4
Juice,2023-01-29,15,8.8,63.4,6,11.7
Yogurt,2023-03-23,14,8.3,62.6,1,16.0
Cheese,2023-01-02,39,1.5,47.4,1,64.5
Cheese,2023-05-09,12,7.9,56.5,8,7.1
Yogurt,2023-02-16,47,11.2,86.8,7,23.0
Juice,2023-05-28,45,6.8,47.7,3,54.6
Yogurt,2023-01-11,10,6.0,66.6,6,12.3
Cheese,2023-05-10,19,3.9,39.0,9,18.4
Milk,2023-04-29,55,2.4,68.6,7,48.6
Bread,2023-05-20,8,10.5,51.1,3,4.8
Cheese,2023-01-20,11,7.5,64.0,6,10.1
Yogurt,2023-01-05,50,10.3,47.1,4,46.4
Bread,2023-02-06,33,12.6,62.9,3,23.6
Yogurt,2023-06-15,38,10.8,50.9,9,21.0
Yogurt,2023-05-17,27,6.4,52.8,2,35.3
Milk,2023-02-22,14,8.4,64.4,1,16.0
Bread,2023-06-21,44,6.2,55.7,2,51.8
Bread,2023-04-09,14,5.9,63.8,7,12.2
Milk,2023-03-27,56,9.0,58.1,1,60.5
Cheese,2023-04-18,9,5.5,60.7,6,8.4
Yogurt,2023-01-24,50,1.4,64.5,7,45.1
Juice,2023-03-22,9,5.3,56.5,9,5.7
Yogurt,2023-06-07,28,7.1,50.0,8,22.5
Yogurt,2023-04-30,12,12.6,54.7,6,5.6
Cheese,2023-02-28,8,6.5,72.0,3,11.5
Yogurt,2023-05-08,29,9.5,61.2,8,13.6
Milk,2023-04-24,50,7.5,51.6,7,38.8
Milk,2023-04-25,8,11.7,64.0,3,7.0
Bread,2023-01-14,44,11.5,64.7,9,21.2
Juice,2023-01-09,23,11.5,65.2,2,19.0
Yogurt,2023-02-09,41,2.8,50.2,3,56.6
Yogurt,2023-01-25,40,8.6,53.2,2,45.2
Cheese,2023-04-13,29,10.3,53.2,1,30.8
Milk,2023-01-22,36,9.1,56.4,4,35.6
Juice,2023-01-04,58,9.9,65.4,5,44.4
Bread,2023-06-03,14,8.2,63.0,6,12.4
Milk,2023-01-29,28,5.8,63.8,5,23.8
Bread,2023-04-19,50,2.9,73.5,1,61.7
Cheese,2023-04-08,42,6.1,66.9,3,42.2
Cheese,2023-02-06,11,16.0,58.6,1,5.6
Yogurt,2023-03-16,19,6.5,48.2,5,20.4
Juice,2023-03-11,35,2.1,52.9,5,40.7
Bread,2023-05-26,37,10.2,57.4,6,28.0
Milk,2023-05-08,53,10.6,68.3,8,25.3
Cheese,2023-03-26,22,11.9,59.7,1,23.7
Yogurt,2023-02-11,48,9.4,53.4,4,42.5
Yogurt,2023-04-10,36,10.5,52.7,1,39.0
Bread,2023-02-10,22,13.5,59.3,9,10.9
Cheese,2023-06-15,18,5.8,68.9,7,12.0
Juice,2023-02-03,23,5.2,75.9,7,17.6
Cheese,2023-01-17,22,4.7,57.9,5,20.0
Bread,2023-06-14,18,7.2,59.6,7,16.4
Bread,2023-06-02,14,12.3,47.9,2,13.2
Cheese,2023-05-02,26,9.6,79.4,4,16.7
Bread,2023-03-17,9,9.5,46.0,7,6.2
Cheese,2023-03-28,22,2.5,71.7,3,26.4
Milk,2023-04-27,36,5.9,56.3,2,43.0
Cheese,2023-04-16,51,2.5,54.0,2,72.3
Cheese,2023-03-27,29,11.5,48.9,1,29.9
Bread,2023-01-27,34,12.8,84.1,5,14.5
Bread,2023-02-26,57,10.3,62.2,6,42.6
Yogurt,2023-01-31,46,5.0,60.2,6,40.6
Yogurt,2023-05-14,11,12.4,68.9,9,6.2
Milk,2023-06-17,26,7.2,53.5,4,27.2
Yogurt,2023-04-08,46,4.4,60.0,1,59.9
Cheese,2023-01-12,50,5.1,60.6,6,44.9
Bread,2023-02-22,7,6.7,54.9,5,8.3
Yogurt,2023-05-18,36,8.1,72.0,6,24.5
Yogurt,2023-06-22,27,7.5,57.8,3,30.7
Milk,2023-05-25,26,3.8,44.5,2,40.9
Milk,2023-06-03,12,11.6,57.0,6,9.8
Cheese,2023-05-02,28,7.5,62.5,1,31.0
Bread,2023-02-15,24,5.9,51.1,7,18.6
Milk,2023-03-05,14,11.3,51.9,7,7.9
Yogurt,2023-05-10,45,4.4,54.5,7,40.7
Bread,2023-02-23,38,3.1,72.2,1,48.4
Bread,2023-04-17,39,11.8,55.1,4,26.5
Yogurt,2023-02-20,59,13.7,74.3,7,26.0
Milk,2023-02-05,22,6.6,53.9,9,14.8
Yogurt,2023-04-25,18,7.9,63.3,5,14.5
Bread,2023-01-26,44,4.6,55.5,2,60.1
Juice,2023-01-29,58,8.0,67.5,7,39.5
Juice,2023-05-29,40,6.6,48.8,1,56.9
Cheese,2023-01-11,20,7.7,67.4,7,13.1
Yogurt,2023-02-09,42,9.2,61.1,6,32.7
Yogurt,2023-01-11,39,4.7,53.6,7,38.1
Cheese,2023-06-13,29,6.9,58.3,3,33.7
Cheese,2023-04-23,56,2.6,75.3,3,58.1
Cheese,2023-02-08,51,6.9,61.4,7,37.7
Bread,2023-02-23,8,7.7,53.0,2,8.6
Yogurt,2023-04-08,47,8.7,48.0,1,58.9
Bread,2023-02-24,27,8.7,65.1,9,15.7
Cheese,2023-04-21,8,10.7,62.0,9,2.3
Yogurt,2023-06-01,33,3.4,67.0,7,27.3
Bread,2023-05-30,15,3.5,45.4,7,11.1
Bread,2023-03-10,7,9.6,48.3,3,10.1
Cheese,2023-02-25,17,1.9,71.5,2,20.0
Yogurt,2023-02-02,9,8.5,63.3,7,6.2
Cheese,2023-02-05,58,4.5,65.3,9,36.8
Yogurt,2023-05-28,29,12.7,50.4,1,30.0
Juice,2023-03-22,32,8.8,50.2,4,25.7
Milk,2023-04-19,10,7.3,69.9,6,7.3
Milk,2023-06-03,24,11.7,70.4,7,12.4
Milk,2023-03-14,12,4.8,49.1,7,10.2
Cheese,2023-02-09,41,5.4,47.2,2,59.4
Juice,2023-01-17,28,4.2,58.9,4,29.6
Yogurt,2023-05-09,49,5.4,52.0,5,53.0
Bread,2023-03-02,21,8.2,51.8,1,26.4
Yogurt,2023-06-20,28,9.5,47.5,1,35.7
Bread,2023-04-14,43,10.9,55.3,3,37.2
Yogurt,2023-02-11,58,2.5,48.5,3,81.0
Juice,2023-01-25,48,7.5,49.0,8,37.7
Bread,2023-02-08,18,4.7,63.0,9,12.6
Cheese,2023-02-04,53,7.4,59.4,1,59.5
Yogurt,2023-05-11,55,15.0,64.8,2,35.3
Yogurt,2023-04-18,48,8.9,43.5,2,57.9
Bread,2023-06-21,44,10.7,60.1,4,37.0
Cheese,2023-06-28,24,13.9,80.8,2,13.0
Cheese,2023-04-12,51,11.4,56.3,7,25.8
Juice,2023-04-08,41,6.7,68.2,9,24.3
Cheese,2023-01-12,36,4.2,68.2,7,25.9
Cheese,2023-01-19,30,7.9,68.7,6,17.7
Cheese,2023-04-11,48,6.3,61.7,1,52.7
Milk,2023-02-13,36,3.4,65.7,9,25.8
Juice,2023-02-18,20,8.7,67.0,5,15.7
Yogurt,2023-01-17,12,8.8,66.4,5,8.8
Bread,2023-03-15,9,13.3,48.8,6,8.6
Yogurt,2023-02-26,22,6.9,42.9,9,17.0
Juice,2023-02-24,13,8.8,44.5,8,12.6
Bread,2023-02-16,58,6.0,57.3,8,39.8
Juice,2023-01-12,20,10.6,65.9,8,10.6
Cheese,2023-03-03,15,7.6,49.0,1,16.1
Bread,2023-03-21,21,4.5,69.2,1,25.1
Cheese,2023-03-24,27,8.0,55.0,8,17.9
Yogurt,2023-01-08,41,9.2,55.1,5,36.0
Yogurt,2023-05-29,8,8.8,51.6,9,4.9
Bread,2023-03-22,33,11.1,41.2,2,36.7
Bread,2023-04-28,8,3.7,62.3,9,6.9
Juice,2023-01-25,41,5.5,77.1,8,29.2
Juice,2023-03-30,24,9.9,59.4,9,12.0
Cheese,2023-01-12,20,5.8,41.5,4,22.6
Bread,2023-05-23,26,8.7,67.8,1,26.9
Yogurt,2023-02-28,24,0.7,43.8,1,41.8
Juice,2023-06-03,16,16.1,47.9,5,12.1
Juice,2023-04-19,31,7.2,57.6,2,34.8
Yogurt,2023-01-26,8,11.6,61.2,8,3.1
Juice,2023-02-16,31,7.0,49.9,5,29.9
Cheese,2023-02-01,39,9.2,57.2,5,33.8
Bread,2023-01-10,42,12.5,67.2,2,32.0
Yogurt,2023-01-16,37,11.5,68.5,7,18.8
Bread,2023-05-25,20,7.4,72.5,8,15.0
Juice,2023-05-31,7,7.6,79.1,1,4.9
Juice,2023-01-26,52,11.0,68.1,2,43.5
Yogurt,2023-03-27,22,15.0,57.8,4,14.9
Cheese,2023-05-15,52,8.6,68.6,5,36.4
Milk,2023-01-14,58,13.9,64.7,2,42.7
Yogurt,2023-03-20,9,7.3,65.1,1,8.0
Milk,2023-04-27,41,10.9,61.8,9,21.6
Milk,2023-01-07,47,11.3,50.9,1,46.9
Cheese,2023-05-17,12,6.8,49.7,4,14.4
Milk,2023-04-25,31,5.8,59.0,2,39.4
Milk,2023-06-25,19,11.4,61.5,4,16.2
Cheese,2023-03-13,59,6.4,53.2,8,44.7
Milk,2023-02-28,40,5.3,64.2,8,27.8
Milk,2023-03-23,14,5.9,80.8,9,6.0
Milk,2023-04-26,27,6.4,42.6,5,32.4
Yogurt,2023-06-16,40,10.6,65.8,7,22.2
Yogurt,2023-05-26,10,9.5,59.3,3,7.2
Yogurt,2023-04-13,31,10.1,64.5,4,26.0
Cheese,2023-01-17,21,9.3,55.7,9,10.3
Juice,2023-01-14,10,6.2,58.5,1,10.7
Milk,2023-06-08,51,10.1,61.3,2,45.3
Milk,2023-06-01,18,11.5,57.0,5,12.2
Cheese,2023-04-18,38,9.8,44.8,3,39.7
Milk,2023-02-14,38,9.3,57.7,2,39.4
Yogurt,2023-04-08,34,5.7,45.8,1,51.3
Juice,2023-05-11,19,8.6,66.5,3,18.3
Bread,2023-02-06,37,5.5,41.3,1,55.9
Milk,2023-06-20,20,7.9,70.3,1,20.2
Yogurt,2023-06-17,26,3.1,64.3,1,36.3
Bread,2023-04-18,24,3.1,64.3,8,21.1
Juice,2023-02-08,35,7.4,38.4,3,44.1
Bread,2023-01-15,12,6.4,56.7,1,14.3
Yogurt,2023-04-30,38,8.3,71.5,7,21.9
Bread,2023-01-04,35,7.6,54.8,3,34.7
Cheese,2023-04-03,49,8.1,49.2,8,36.4
Bread,2023-06-02,8,9.8,53.6,4,8.4
Milk,2023-05-21,29,6.6,59.3,4,30.2
Milk,2023-06-10,25,7.3,51.5,5,23.9
Cheese,2023-01-16,37,12.4,72.3,6,22.8
Yogurt,2023-06-19,57,8.0,59.4,7,40.3
Milk,2023-04-18,11,7.5,54.4,4,13.0
Juice,2023-05-06,25,8.2,47.0,8,18.1
Milk,2023-02-24,40,7.5,64.8,6,29.6
Milk,2023-06-19,16,5.9,64.6,1,20.4
Yogurt,2023-02-03,31,5.0,52.1,1,44.7
Bread,2023-06-07,8,5.7,37.6,9,7.0
Milk,2023-01-13,17,10.6,64.1,6,11.4
Cheese,2023-05-21,56,6.1,58.1,8,40.5
Bread,2023-01-18,37,7.5,63.4,7,31.2
Juice,2023-06-09,21,10.1,79.6,6,14.3
Yogurt,2023-04-06,15,7.2,59.7,4,16.0
Juice,2023-05-03,29,9.9,54.9,7,20.1
Bread,2023-02-08,25,3.4,48.5,9,21.9
Bread,2023-02-15,15,7.6,56.9,7,12.4
Bread,2023-01-29,41,8.2,61.6,1,45.6
Juice,2023-03-03,27,8.1,60.5,9,14.9
Bread,2023-01-16,15,3.0,77.2,4,14.3
Juice,2023-05-01,34,11.6,65.0,3,20.1
Bread,2023-01-10,52,5.4,58.7,4,55.8
Cheese,2023-06-07,57,9.0,52.9,4,53.0
Bread,2023-06-02,13,8.0,62.7,2,16.7
Juice,2023-04-13,22,11.0,50.9,1,23.3
Milk,2023-03-25,22,14.6,61.8,1,14.1
Bread,2023-05-13,39,4.1,64.9,8,28.7
Milk,2023-03-06,10,6.1,57.8,2,9.9
Cheese,2023-06-26,10,8.6,53.7,5,9.8
Yogurt,2023-01-03,45,4.7,38.1,4,60.0
Cheese,2023-06-22,46,10.3,71.4,8,25.4
Bread,2023-05-22,23,10.5,64.0,2,19.1
Milk,2023-04-30,43,9.7,64.3,9,21.9
Milk,2023-06-07,45,8.7,44.4,7,33.4
Juice,2023-03-09,58,12.1,73.8,7,30.0
Milk,2023-05-26,35,4.5,55.3,1,50.1
Juice,2023-02-06,58,8.2,57.1,2,64.2
Yogurt,2023-06-02,42,5.8,49.3,4,48.0
Bread,2023-06-25,44,10.7,42.1,4,42.6
Juice,2023-03-14,45,2.5,71.6,3,53.9
Yogurt,2023-05-23,56,7.9,72.9,7,34.7
Milk,2023-02-18,43,9.0,58.3,8,27.3
Milk,2023-05-01,58,5.2,53.2,2,73.4
Yogurt,2023-03-29,41,6.1,56.2,4,41.6
Milk,2023-05-20,13,8.0,56.5,3,13.7
Yogurt,2023-02-06,33,10.9,48.0,2,36.0
Juice,2023-03-02,34,4.9,57.1,6,31.4
Juice,2023-06-20,28,5.4,61.5,4,28.5
Yogurt,2023-05-04,20,11.4,70.2,6,11.0
Juice,2023-02-08,13,7.2,60.1,2,13.4
Juice,2023-03-04,43,5.7,44.2,4,52.2
Juice,2023-02-15,28,10.2,63.5,6,16.0
Cheese,2023-03-29,11,6.5,57.4,5,13.0
Bread,2023-01-11,8,11.1,73.7,3,4.5
Milk,2023-03-03,33,6.0,74.3,8,21.7
Cheese,2023-03-18,27,7.5,74.6,7,14.5
Juice,2023-06-02,44,10.8,54.4,3,41.3
Yogurt,2023-02-21,21,7.3,79.9,6,15.1
Juice,2023-01-04,27,10.3,63.5,4,22.2
Bread,2023-02-28,16,7.8,76.3,5,9.6
Juice,2023-03-13,29,13.9,55.0,5,19.0
Yogurt,2023-05-28,45,12.7,57.0,7,23.2
Bread,2023-04-03,11,4.0,62.7,5,10.5
Juice,2023-03-04,7,9.6,61.5,3,8.4
Bread,2023-02-23,19,5.6,72.5,5,17.6
Milk,2023-04-27,27,8.6,57.7,7,19.3
Milk,2023-04-20,32,8.2,71.6,5,22.1
Juice,2023-03-15,56,4.8,67.3,5,53.1
Bread,2023-04-17,51,11.2,57.9,9,25.4
Yogurt,2023-02-26,27,8.6,66.5,3,19.8
Juice,2023-06-18,59,7.1,55.3,6,52.6
Milk,2023-01-03,24,6.7,83.5,1,22.2
Milk,2023-04-30,43,8.4,33.4,5,48.3
Juice,2023-01-06,51,9.2,66.7,8,26.9
Bread,2023-01-05,38,7.6,42.4,5,32.8
Milk,2023-01-05,42,-0.5,57.7,9,36.1
Bread,2023-02-23,23,8.1,59.1,6,18.8
Milk,2023-02-16,41,3.7,75.1,8,24.1
Milk,2023-06-26,55,7.4,53.1,8,37.4
Cheese,2023-01-09,17,3.8,73.1,3,23.4
Milk,2023-04-09,27,3.8,48.2,7,25.7
Yogurt,2023-01-20,58,11.7,73.5,7,30.9
Juice,2023-05-02,59,7.0,55.3,6,49.9
Juice,2023-03-02,32,6.8,60.7,7,20.1
Bread,2023-05-03,10,9.4,56.6,2,9.9
Milk,2023-06-12,40,6.9,72.8,9,20.8
Yogurt,2023-06-27,58,14.3,70.9,1,39.6
Bread,2023-03-23,54,7.2,64.4,1,61.0
Cheese,2023-03-03,24,9.1,48.5,3,25.8
Bread,2023-05-25,46,10.9,52.8,3,41.9
Bread,2023-01-03,41,12.8,49.7,1,36.7
Milk,2023-06-09,47,5.8,37.5,7,47.0
Cheese,2023-01-13,35,6.7,72.6,4,26.4
Bread,2023-04-30,58,11.8,56.7,2,47.8
Yogurt,2023-05-05,35,10.4,56.6,5,28.9
Yogurt,2023-03-30,44,11.2,75.0,6,25.8
Juice,2023-03-14,48,3.9,55.2,9,35.0
Cheese,2023-03-09,27,12.6,51.6,4,18.2
Cheese,2023-05-22,48,5.7,57.8,2,57.1
Juice,2023-04-11,19,8.6,48.7,5,17.1
Bread,2023-04-08,55,7.6,63.4,3,51.0
Cheese,2023-01-11,47,5.4,56.3,2,57.5
Yogurt,2023-04-15,23,3.8,54.9,1,34.6
Yogurt,2023-03-08,15,2.8,54.1,2,24.3
Milk,2023-05-03,47,8.4,58.9,6,35.9
Cheese,2023-01-29,7,3.4,60.8,8,7.1
Bread,2023-05-17,8,4.6,54.8,3,6.0
Juice,2023-06-02,54,7.3,56.4,9,34.9
Juice,2023-03-17,35,0.1,59.2,9,26.9
Bread,2023-06-19,39,10.3,58.2,2,38.2
Milk,2023-01-09,16,0.8,60.3,8,13.6
Juice,2023-02-09,56,7.8,53.2,5,54.6
Cheese,2023-01-25,46,8.0,70.0,4,36.8
Milk,2023-01-05,27,9.6,61.0,5,22.4
Cheese,2023-05-19,34,7.9,55.0,4,32.8
Yogurt,2023-05-04,17,14.1,63.4,8,7.1
Milk,2023-02-07,40,8.6,59.3,4,36.0
Juice,2023-03-13,14,11.2,42.7,6,9.2
Milk,2023-05-13,28,5.8,63.4,2,32.1
Milk,2023-06-25,14,8.4,49.8,5,12.9
Milk,2023-03-31,55,12.6,69.3,6,30.8
Milk,2023-05-26,21,7.3,57.6,5,19.3
Cheese,2023-02-06,23,8.6,67.8,2,23.6
Yogurt,2023-03-01,29,10.9,53.7,7,20.8
Bread,2023-06-25,30,5.8,60.7,4,28.7
Milk,2023-01-28,51,1.5,72.1,8,40.3
Juice,2023-03-22,25,8.8,57.3,7,15.4
Milk,2023-04-24,11,11.0,54.1,7,8.3
Juice,2023-02-09,38,3.9,66.6,9,26.0
Cheese,2023-02-14,50,10.0,66.4,1,44.2
Juice,2023-03-03,7,10.0,54.5,6,5.4
Bread,2023-04-03,29,1.2,40.1,6,35.9
Yogurt,2023-04-25,43,5.2,53.9,6,39.6
Juice,2023-03-08,14,6.8,66.8,6,13.6
Juice,2023-02-25,19,7.5,52.2,7,13.8
Yogurt,2023-02-09,14,5.8,59.9,6,10.7
Bread,2023-04-08,29,5.6,53.4,1,39.6
Milk,2023-02-09,49,13.0,40.7,3,45.2
Juice,2023-04-01,7,7.7,53.2,2,7.8
Yogurt,2023-02-02,51,5.9,66.7,6,43.9
Cheese,2023-01-06,57,7.9,36.3,8,47.1
Yogurt,2023-05-27,30,9.6,62.5,3,22.6
Cheese,2023-03-21,41,8.2,48.1,8,28.5
Bread,2023-06-17,30,7.4,66.1,8,17.7
Milk,2023-04-02,23,6.0,67.1,5,21.2
Yogurt,2023-04-07,11,6.0,58.3,8,2.7
Juice,2023-02-28,26,6.2,58.3,6,27.9
Bread,2023-02-28,27,9.0,51.9,5,24.9
Yogurt,2023-02-17,46,5.0,46.5,9,35.1
Juice,2023-06-18,37,9.2,77.0,7,23.1
Yogurt,2023-01-13,52,12.2,51.3,8,33.7
Cheese,2023-04-17,42,9.0,75.7,1,40.1
Yogurt,2023-02-14,17,6.9,51.4,2,22.7
Yogurt,2023-03-30,58,4.1,65.3,8,42.9
Yogurt,2023-06-19,21,12.7,48.6,9,10.1
Bread,2023-04-10,25,4.5,65.2,4,24.9
Yogurt,2023-06-04,13,10.5,56.7,9,5.2
